area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Shuishang Township, Chiayi County",5 BHK,4239,2,2,10998
Built-up  Area,Ready To Move,"Lucao Township, Chiayi County",2 Bedroom,884,1,0,1508
Super built-up  Area,19-Mar,"Taibao City, Chiayi County",2 BHK,1045,1,1,2571.14
Super built-up  Area,Ready To Move,"Puzi City, Chiayi County",2 BHK,1019,1,2,1296.36
Super built-up  Area,Ready To Move,"Dongshi Township, Chiayi County",3 BHK,1935,2,2,3380
Super built-up  Area,Ready To Move,"Liujiao Township, Chiayi County",3 BHK,1135,1,2,1032.98
Super built-up  Area,Ready To Move,"Xingang Township, Chiayi County",3 BHK,1680,2,2,3900
Super built-up  Area,19-Jun,"Minxiong Township, Chiayi County",4 BHK,2470,2,2,6422
Super built-up  Area,Ready To Move,"Dalin Township, Chiayi County",4 BHK,2825,2,3,6500
Super built-up  Area,Ready To Move,"Xikou Township, Chiayi County",3 BHK,2480,2,1,8580
Plot  Area,Ready To Move,"Yizhu Township, Chiayi County",9 Bedroom,1260,11,,7540
Plot  Area,Ready To Move,"Budai Township, Chiayi County",5 Bedroom,1800,2,3,4862
Built-up  Area,Ready To Move,"Dounan Township, Yunlin County",3 BHK,1799,2,3,2340
Super built-up  Area,Ready To Move,"Dapi Township, Yunlin County",4 Bedroom,3606 - 5091,,,7904
Built-up  Area,Ready To Move,"Huwei Township, Yunlin County",1 BHK,400,1,1,286
Built-up  Area,18-Mar,"Tuku Township, Yunlin County",2 BHK,1047,1,1,2132
Super built-up  Area,Ready To Move,"Baozhong Township, Yunlin County",2 BHK,1282,1,2,2262
Super built-up  Area,Ready To Move,"Dongshi Township, Yunlin County",2 BHK,1020,1,1,1193.4
Plot  Area,Ready To Move,"Taixi Township, Yunlin County",4 Bedroom,1080,2,1,4030
Super built-up  Area,Ready To Move,"Lunbei Township, Yunlin County",2 BHK,1495,1,1,2067
Built-up  Area,Ready To Move,"Mailiao Township, Yunlin County",4 Bedroom,3260,2,1,6240
Super built-up  Area,17-Oct,"Douliu City, Yunlin County",3 BHK,1611,1,2,1675.44
Super built-up  Area,Ready To Move,"Linnei Township, Yunlin County",4 BHK,3500,2,2,11050
Built-up  Area,Ready To Move,"Gukeng Township, Yunlin County",3 Bedroom,1500,1,2,2470
Super built-up  Area,Ready To Move,"Citong Township, Yunlin County",3 BHK,1500,1,2,2470
Plot  Area,Ready To Move,"Xiluo Township, Yunlin County",4 Bedroom,3206,2,,7020
Super built-up  Area,Ready To Move,"Erlun Township, Yunlin County",3 BHK,1540,2,0,1300
Super built-up  Area,18-May,"Beigang Township, Yunlin County",3 BHK,1639,2,1,2080
Plot  Area,Ready To Move,"Shuilin Township, Yunlin County",4 Bedroom,700,2,,1872
Super built-up  Area,Ready To Move,"Kouhu Township, Yunlin County",2 BHK,1303,1,2,1450.54
Super built-up  Area,Ready To Move,"Sihu Township, Yunlin County",2 BHK,1005,1,1,2860
Super built-up  Area,Ready To Move,"Yuanchang Township, Yunlin County",1 BHK,650 - 665,1,0,478.66
Super built-up  Area,18-Oct,"West Central Dist., Tainan City",3 BHK,1305,2,1,865.28
Plot  Area,Ready To Move,"East Dist., Tainan City",3 Bedroom,600,2,0,2470
Super built-up  Area,Ready To Move,"South Dist., Tainan City",2 BHK,1300,1,1,2990
Super built-up  Area,Ready To Move,"North Dist., Tainan City",3 BHK,1440,1,3,1768
Super built-up  Area,18-Dec,"Anping Dist., Tainan City",2 BHK,901,1,1,913.64
Super built-up  Area,Ready To Move,"Annan Dist., Tainan City",3 BHK,1725,2,3,5200
Built-up  Area,Ready To Move,"Yongkang Dist., Tainan City",3 BHK,900,1,1,1092
Super built-up  Area,Ready To Move,"Guiren Dist., Tainan City",2 BHK,1060,1,1,1430
Super built-up  Area,Ready To Move,"Xinhua Dist., Tainan City",2 BHK,1020,1,1,1259.7
Super built-up  Area,20-Dec,"Zuozhen Dist., Tainan City",3 BHK,1535,2,2,1715.74
Built-up  Area,Ready To Move,"Yujing Dist., Tainan City",1 BHK,530,1,1,520
Super built-up  Area,Ready To Move,"Nanxi Dist., Tainan City",3 BHK,1464,2,2,1456
Super built-up  Area,Ready To Move,"Nanhua Dist., Tainan City",2 BHK,1350,1,3,2080
Super built-up  Area,Ready To Move,"Rende Dist., Tainan City",2 BHK,1115,1,2,1300
Super built-up  Area,Ready To Move,"Guanmiao Dist., Tainan City",2 BHK,1175,1,2,1222
Built-up  Area,Ready To Move,"Longqi Dist., Tainan City",2 BHK,1113,1,1,1612
Plot  Area,Ready To Move,"Guantian Dist., Tainan City",6 Bedroom,1200,2,2,5850
Plot  Area,Ready To Move,"Madou Dist., Tainan City",5 Bedroom,1640,2,3,6240
Built-up  Area,Ready To Move,"Jiali Dist., Tainan City",2 BHK,650,1,0,1092
Super built-up  Area,Ready To Move,"Xigang Dist., Tainan City",2 BHK,1325,1,2,1860.3
Built-up  Area,Ready To Move,"Qigu Dist., Tainan City",2 BHK,950,1,3,806
Super built-up  Area,18-Apr,"Jiangjun Dist., Tainan City",3 BHK,1396,1,1,2249.26
Super built-up  Area,Ready To Move,"Xuejia Dist., Tainan City",2 BHK,1050,1,2,1353.82
Super built-up  Area,Ready To Move,"Beimen Dist., Tainan City",3 BHK,1825,2,2,2600
Super built-up  Area,Ready To Move,"Xinying Dist., Tainan City",2 BHK,1190,1,1,1299.48
Super built-up  Area,Ready To Move,"Houbi Dist., Tainan City",2 BHK,1220,1,1,1469
Super built-up  Area,Ready To Move,"Baihe Dist., Tainan City",3 BHK,1565,1,2,1950
Super built-up  Area,Ready To Move,"Dongshan Dist., Tainan City",3 BHK,1891,2,1,2834
Built-up  Area,Ready To Move,"Liujia Dist., Tainan City",2 BHK,900,1,0,702
Super built-up  Area,18-Jul,"Xiaying Dist., Tainan City",2 BHK,1161,1,1,1433.9
Super built-up  Area,Ready To Move,"Liuying Dist., Tainan City",1 BHK,633 - 666,1,0,455.91
Plot  Area,Ready To Move,"Yanshui Dist., Tainan City",8 Bedroom,2400,2,3,3250
Plot  Area,Ready To Move,"Shanhua Dist., Tainan City",4 Bedroom,315,2,2,2340
Super built-up  Area,Ready To Move,"Danei Dist., Tainan City",1 BHK,665,1,1,958.1
Super built-up  Area,19-Jan,"Shanshang Dist., Tainan City",2 BHK,1175,1,1,1911
Built-up  Area,Ready To Move,"Xinshi Dist., Tainan City",2 BHK,1425,1,2,2080
Plot  Area,Ready To Move,"Anding Dist., Tainan City",1 Bedroom,1200,1,0,520
Plot  Area,18-Aug,"Xinxing Dist., Kaohsiung City",3 Bedroom,1200,2,1,1459.12
Built-up  Area,Ready To Move,"Qianjin Dist., Kaohsiung City",2 BHK,1255,1,2,1742
Super built-up  Area,Ready To Move,"Lingya Dist., Kaohsiung City",3 BHK,2112.95,2,2,3770
Super built-up  Area,Ready To Move,"Yancheng Dist., Kaohsiung City",1 BHK,600,1,1,572
Super built-up  Area,18-Jul,"Gushan Dist., Kaohsiung City",3 BHK,1810,2,2,2600
Super built-up  Area,Ready To Move,"Qijin Dist., Kaohsiung City",2 BHK,1200,1,2,2418
Super built-up  Area,Ready To Move,"Qianzhen Dist., Kaohsiung City",2 BHK,1033,1,2,1274
Super built-up  Area,Ready To Move,"Sanmin Dist., Kaohsiung City",3 BHK,1548,2,2,2327
Super built-up  Area,18-May,"Nanzi Dist., Kaohsiung City",3 BHK,1611,2,3,1716
Built-up  Area,18-Jul,"Xiaogang Dist., Kaohsiung City",3 BHK,1400,1,1,1051.18
Super built-up  Area,Ready To Move,"Zuoying Dist., Kaohsiung City",3 BHK,1485,1,2,1742
Built-up  Area,Ready To Move,"Renwu Dist., Kaohsiung City",2 Bedroom,2400,1,1,2132
Super built-up  Area,Ready To Move,"Dashe Dist., Kaohsiung City",2 BHK,1025,1,1,1157
Plot  Area,Ready To Move,"Dongsha Islands, Nanhai Islands",4 Bedroom,600,2,2,1690
Super built-up  Area,Ready To Move,"Nansha Islands, Nanhai Islands",2 BHK,1225,1,,1378
Built-up  Area,Ready To Move,"Gangshan Dist., Kaohsiung City",2 BHK,1256,1,1,1632.8
Super built-up  Area,Ready To Move,"Luzhu Dist., Kaohsiung City",4 BHK,2268,2,2,4238
Super built-up  Area,21-Dec,"Alian Dist., Kaohsiung City",3 BHK,1100,2,2,1378
Super built-up  Area,Ready To Move,"Tianliao Dist., Kaohsiung City",2 BHK,1141,1,0,1612
Built-up  Area,Ready To Move,"Yanchao Dist., Kaohsiung City",1 BHK,400,1,1,312
Plot  Area,Ready To Move,"Qiaotou Dist., Kaohsiung City",2 Bedroom,1400,1,0,1560
Super built-up  Area,Ready To Move,"Ziguan Dist., Kaohsiung City",7 BHK,4100,3,,3640
Plot  Area,18-Mar,"Mituo Dist., Kaohsiung City",1 Bedroom,5.31Acres,1,0,2860
Carpet  Area,Ready To Move,"Nanzi Dist., Kaohsiung City",1 BHK,15,1,0,780
Super built-up  Area,Ready To Move,"Hunei Dist., Kaohsiung City",2 BHK,1175,1,2,1255.02
Super built-up  Area,Ready To Move,"Fengshan Dist., Kaohsiung City",2 BHK,1100,1,1,1456
Super built-up  Area,Ready To Move,"Daliao Dist., Kaohsiung City",3 BHK,1843,2,2,2491.84
Plot  Area,Ready To Move,"Linyuan Dist., Kaohsiung City",8 Bedroom,1200,3,2,6240
Super built-up  Area,19-Dec,"Niaosong Dist., Kaohsiung City",2 BHK,1460,1,1,2093
Super built-up  Area,Ready To Move,"Dashu Dist., Kaohsiung City",3 BHK,1530,1,2,1937
Built-up  Area,Ready To Move,"Qishan Dist., Kaohsiung City",2 BHK,1467,1,1,1430
Super built-up  Area,Ready To Move,"Meinong Dist., Kaohsiung City",1 BHK,950,1,1,1040
Super built-up  Area,Ready To Move,"Liugui Dist., Kaohsiung City",2 BHK,1246,1,1,1677
Super built-up  Area,19-Dec,"Neimen Dist., Kaohsiung City",1 BHK,711,1,1,988
Super built-up  Area,Ready To Move,"Shanlin Dist., Kaohsiung City",2 BHK,1194,1,2,1196
Super built-up  Area,Ready To Move,"Jiaxian Dist., Kaohsiung City",3 BHK,1358,1,1,1128.4
Carpet  Area,Ready To Move,"Taoyuan Dist., Kaohsiung City",6 Bedroom,1500,2,1,3380
Super built-up  Area,Ready To Move,"Namaxia Dist., Kaohsiung City",2 BHK,1420,1,2,1950
Super built-up  Area,Ready To Move,"Maolin Dist., Kaohsiung City",3 BHK,1250,1,1,1787.5
Built-up  Area,Ready To Move,"Qieding Dist., Kaohsiung City",2 BHK,1280,1,,1508
Super built-up  Area,Ready To Move,"Magong City, Penghu County",2 BHK,1209,1,1,1300
Built-up  Area,Ready To Move,"Xiyu Township, Penghu County",5 Bedroom,4200,2,2,5850
Plot  Area,Ready To Move,"Magong City, Penghu County",4 Bedroom,1215,2,3,5330
Super built-up  Area,Ready To Move,"Qimei Township, Penghu County",3 BHK,1315,1,1,1424.8
Super built-up  Area,Ready To Move,"Baisha Township, Penghu County",3 BHK,1800,2,3,2340
Built-up  Area,Ready To Move,"Huxi Township, Penghu County",5 Bedroom,1600,2,0,3250
Super built-up  Area,Ready To Move,"Jinsha Township, Kinmen County",3 BHK,1600,1,2,1690
Plot  Area,Ready To Move,"Jinhu Township, Kinmen County",6 Bedroom,3968,2,2,23400
Super built-up  Area,Ready To Move,"Jinning Township, Kinmen County",3 BHK,1563,2,2,1352
Super built-up  Area,Ready To Move,"Jincheng Township, Kinmen County",3 BHK,1560,1,2,1872
Super built-up  Area,Ready To Move,"Lieyu Township, Kinmen County",3 BHK,2169,2,,2990
Plot  Area,Ready To Move,"Wuqiu Township, Kinmen County",9 Bedroom,900,10,,4420
Super built-up  Area,Ready To Move,"Pingtung City, Pingtung County",2 BHK,1050,1,2,1443
Super built-up  Area,Ready To Move,"Sandimen Township, Pingtung County",3 BHK,3235,2,1,6110
Plot  Area,Ready To Move,"Wutai Township, Pingtung County",3 Bedroom,1200,2,0,1716
Super built-up  Area,Ready To Move,"Majia Township, Pingtung County",2 BHK,1140,1,2,1196
Plot  Area,Ready To Move,"Jiuru Township, Pingtung County",3 Bedroom,1500,2,1,4420
Super built-up  Area,Ready To Move,"Ligang Township, Pingtung County",3 BHK,1560,2,2,1950
Super built-up  Area,Ready To Move,"Gaoshu Township, Pingtung County",2 BHK,1100,1,2,1820
Super built-up  Area,Ready To Move,"Yanpu Township, Pingtung County",3 BHK,1260,1,3,1048.32
Super built-up  Area,18-Mar,"Changzhi Township, Pingtung County",2 BHK,1036,1,1,1300
Built-up  Area,Ready To Move,"Linluo Township, Pingtung County",3 BHK,1662,2,3,2212.6
Super built-up  Area,Ready To Move,"Zhutian Township, Pingtung County",3 BHK,1464,1,3,2730
Super built-up  Area,Ready To Move,"Neipu Township, Pingtung County",2 BHK,1234,1,2,2080
Super built-up  Area,Ready To Move,"Wandan Township, Pingtung County",3 BHK,1403,2,1,1430
Plot  Area,Ready To Move,"Chaozhou Township, Pingtung County",4 Bedroom,915,2,1,1427.4
Plot  Area,Ready To Move,"Taiwu Township, Pingtung County",6 Bedroom,3000,3,3,11726
Super built-up  Area,Ready To Move,"Laiyi Township, Pingtung County",3 BHK,1150,1,2,1115.4
Built-up  Area,Ready To Move,"Wanluan Township, Pingtung County",4 BHK,3900,2,2,10660
Built-up  Area,Ready To Move,"Kanding Township, Pingtung County",5 Bedroom,850,2,2,2340
Super built-up  Area,18-Mar,"Xinpi Township, Pingtung County",2 BHK,929,1,1,1196
Plot  Area,Ready To Move,"Nanzhou Township, Pingtung County",6 Bedroom,2400,3,3,11700
Plot  Area,Ready To Move,"Linbian Township, Pingtung County",3 Bedroom,1350,1,1,1950
Super built-up  Area,Ready To Move,"Donggang Township, Pingtung County",2 BHK,1135,1,1,1032.98
Built-up  Area,Ready To Move,"Liuqiu Township, Pingtung County",2 BHK,1405,1,2,1820
Plot  Area,18-Sep,"Jiadong Township, Pingtung County",2 Bedroom,1200,1,1,1191.84
Super built-up  Area,18-Apr,"Xinyuan Township, Pingtung County",4 BHK,2805,2,3,4004
Super built-up  Area,Ready To Move,"Fangliao Township, Pingtung County",2 BHK,1161,1,2,1666.08
Super built-up  Area,18-Dec,"Fangshan Township, Pingtung County",2 BHK,1290,1,3,1924
Super built-up  Area,Ready To Move,"Chunri Township, Pingtung County",3 BHK,2557,2,2,3666
Built-up  Area,Ready To Move,"Shizi Township, Pingtung County",3 BHK,1480,2,2,2340
Plot  Area,Ready To Move,"Checheng Township, Pingtung County",9 Bedroom,3300,12,,13000
Super built-up  Area,20-Dec,"Mudan Township, Pingtung County",3 BHK,1350,2,0,1418.04
Super built-up  Area,Ready To Move,"Hengchun Township, Pingtung County",3 BHK,1580,1,2,1690
Super built-up  Area,17-Oct,"Manzhou Township, Pingtung County",3 BHK,1470,1,1,2304.64
Super built-up  Area,18-Jun,"Taitung City, Taitung County",1 BHK,500,1,1,364
Super built-up  Area,18-Sep,"Ludao Township, Taitung County",2 BHK,1346,1,1,1609.92
Super built-up  Area,Ready To Move,"Lanyu Township, Taitung County",3 BHK,1600,2,3,2340
Super built-up  Area,Ready To Move,"Yanping Township, Taitung County",2 BHK,720,1,1,3120
Plot  Area,19-Mar,"Beinan Township, Taitung County",2 Bedroom,30Acres,1,2,767
Plot  Area,Ready To Move,"Luye Township, Taitung County",4 Bedroom,1200,2,0,3510
Super built-up  Area,Ready To Move,"Guanshan Township, Taitung County",2 BHK,1200,1,2,910
Built-up  Area,Ready To Move,"Haiduan Township, Taitung County",3 BHK,1340,1,2,1256.58
Plot  Area,Ready To Move,"Chishang Township, Taitung County",4 Bedroom,6136,2,,14560
Super built-up  Area,Ready To Move,"Donghe Township, Taitung County",2 BHK,918,1,2,1248
Plot  Area,Ready To Move,"Chenggong Township, Taitung County",3 Bedroom,1500,2,2,2990
Super built-up  Area,Ready To Move,"Changbin Township, Taitung County",2 BHK,1315,1,2,2210
Plot  Area,Ready To Move,"Taimali Township, Taitung County",4 Bedroom,2400,2,,20150
Super built-up  Area,Ready To Move,"Jinfeng Township, Taitung County",3 BHK,1390,1,2,1626.3
Super built-up  Area,Ready To Move,"Dawu Township, Taitung County",3 BHK,1330,1,1,1456
Built-up  Area,Ready To Move,"Daren Township, Taitung County",5 BHK,3100,2,,6890
Super built-up  Area,17-Dec,"Hualien City, Hualien County",3 BHK,1824,2,3,3250
Super built-up  Area,Ready To Move,"Xincheng Township, Hualien County",3 BHK,1420,1,2,2496
Plot  Area,Ready To Move,"Xiulin Township, Hualien County",1 Bedroom,750,1,0,1462.5
Super built-up  Area,Ready To Move,"Xincheng Township, Hualien County",3 BHK,1260,1,1,1560
Super built-up  Area,19-Sep,"Shoufeng Township, Hualien County",3 BHK,1561,2,2,2470
Plot  Area,Ready To Move,"Fenglin Township, Hualien County",9 Bedroom,812,2,3,4290
Super built-up  Area,Ready To Move,"Guangfu Township, Hualien County",2 BHK,1060,1,2,1092
Plot  Area,Ready To Move,"Fengbin Township, Hualien County",8 Bedroom,1120,3,3,3770
Super built-up  Area,18-Jul,"Ruisui Township, Hualien County",2 BHK,1225,1,1,1751.88
Super built-up  Area,Ready To Move,"Wanrong Township, Hualien County",3 BHK,2144,2,2,3510
Plot  Area,Ready To Move,"Yuli Township, Hualien County",7 Bedroom,1200,2,2,3640
Super built-up  Area,Ready To Move,"Zhuoxi Township, Hualien County",2 BHK,880,1,2,754
Super built-up  Area,21-Dec,"Fuli Township, Hualien County",3 BHK,1639,2,2,2860
Built-up  Area,Ready To Move,"Toufen City, Miaoli County",3 BHK,1240,1,1,1612
Super built-up  Area,Ready To Move,"Yuanlin City, Changhua County",2 BHK,1500,1,2,1794
Super built-up  Area,Ready To Move,"Zhongzheng Dist., Taipei City",2 BHK,1243,1,1,1196
Super built-up  Area,Ready To Move,"Datong Dist., Taipei City",3 BHK,1575,2,,2028
Super built-up  Area,Ready To Move,"Zhongshan Dist., Taipei City",2 BHK,1027,1,2,1144
Super built-up  Area,Ready To Move,"Songshan Dist., Taipei City",3 BHK,1082,1,1,1456
Super built-up  Area,Ready To Move,"Wanhua Dist., Taipei City",3 BHK,1637,2,3,1898
Super built-up  Area,Ready To Move,"Wanhua Dist., Taipei City",3 BHK,1665,2,2,2251.08
Super built-up  Area,18-Dec,"Xinyi Dist., Taipei City",2 BHK,1265,1,0,1480.18
Super built-up  Area,21-Dec,"Shilin Dist., Taipei City",3 BHK,1691,1,2,2652
Super built-up  Area,Ready To Move,"Beitou Dist., Taipei City",2 BHK,1100,1,1,988
Built-up  Area,Ready To Move,"Neihu Dist., Taipei City",5 Bedroom,24,1,2,3900
Plot  Area,19-Jan,"Nangang Dist., Taipei City",3 Bedroom,1500,2,2,1612
Built-up  Area,Ready To Move,"Wenshan Dist., Taipei City",4 BHK,3205,2,1,9880
Built-up  Area,Ready To Move,"Wenshan Dist., Taipei City",5 Bedroom,1666,2,1,3900
Super built-up  Area,Ready To Move,"Xinyi Dist., Keelung City",2 BHK,1115,1,2,1300
Super built-up  Area,Ready To Move,"Zhongzheng Dist., Keelung City",2 BHK,1070,1,1,1170
Super built-up  Area,Ready To Move,"Zhongshan Dist., Keelung City",2 BHK,1128,1,2,2730
Super built-up  Area,Ready To Move,"Anle Dist., Keelung City",2 BHK,1162,1,1,1482
Super built-up  Area,Ready To Move,"Nuannuan Dist., Keelung City",2 BHK,1339,1,2,1430
Super built-up  Area,Ready To Move,"Qidu Dist., Keelung City",2 BHK,1192,1,2,1950
Super built-up  Area,Ready To Move,"Wanli Dist., New Taipei City",3 BHK,1920,2,1,2990
Super built-up  Area,Ready To Move,"Jinshan Dist., New Taipei City",2 BHK,1255,1,1,1360.32
Super built-up  Area,18-Apr,"Nangan Township, Lienchiang County",2 BHK,1357,1,1,2990
Super built-up  Area,Ready To Move,"Beigan Township, Lienchiang County",3 BHK,1600,2,2,1950
Super built-up  Area,Ready To Move,"Juguang Township, Lienchiang County",2 BHK,1225,1,2,1432.86
Plot  Area,Ready To Move,"Dongyin Township, Lienchiang County",4 Bedroom,2400,2,3,5200
Super built-up  Area,Ready To Move,"Banqiao Dist., New Taipei City",3 BHK,1570,2,3,2080
Super built-up  Area,Ready To Move,"Xizhi Dist., New Taipei City",2 BHK,1093,1,2,1820
Built-up  Area,Ready To Move,"Shenkeng Dist., New Taipei City",3 BHK,1865,2,3,3770
Plot  Area,Ready To Move,"Shiding Dist., New Taipei City",6 Bedroom,1200,3,3,4290
Super built-up  Area,Ready To Move,"Ruifang Dist., New Taipei City",2 BHK,1039,1,2,2080
Super built-up  Area,Ready To Move,"Pingxi Dist., New Taipei City",2 BHK,1246,1,1,1677
Super built-up  Area,Ready To Move,"Shuangxi Dist., New Taipei City",3 BHK,1985,2,2,1950
Super built-up  Area,Ready To Move,"Gongliao Dist., New Taipei City",3 BHK,1590,2,3,1274
Plot  Area,Ready To Move,"Xindian Dist., New Taipei City",4 Bedroom,4000,2,2,17550
Super built-up  Area,Ready To Move,"Pinglin Dist., New Taipei City",2 BHK,775,1,2,988
Super built-up  Area,Ready To Move,"Wulai Dist., New Taipei City",2 BHK,1000,1,1,1300
Super built-up  Area,Ready To Move,"Yonghe Dist., New Taipei City",3 BHK,1800,2,2,4550
Super built-up  Area,18-Jun,"Zhonghe Dist., New Taipei City",2 BHK,1035,1,1,1066
Super built-up  Area,Ready To Move,"Tucheng Dist., New Taipei City",3 BHK,1520,1,1,1950
Super built-up  Area,Ready To Move,"Sanxia Dist., New Taipei City",2 BHK,1360,1,1,2470
Plot  Area,Ready To Move,"Shulin Dist., New Taipei City",4 Bedroom,6000,2,3,10400
Super built-up  Area,Ready To Move,"Yingge Dist., New Taipei City",2 BHK,1117,1,2,1456
Plot  Area,Ready To Move,"Sanchong Dist., New Taipei City",4 Bedroom,1200,2,3,3120
Super built-up  Area,Ready To Move,"Xinzhuang Dist., New Taipei City",2 BHK,1330,1,1,2405
Super built-up  Area,Ready To Move,"Taishan Dist., New Taipei City",3 BHK,1937,2,2,4160
Super built-up  Area,18-Aug,"Linkou Dist., New Taipei City",2 BHK,1128,1,1,1702.74
Super built-up  Area,Ready To Move,"Luzhou Dist., New Taipei City",2 BHK,1053,1,1,1170
Super built-up  Area,18-May,"Wugu Dist., New Taipei City",2 BHK,1198,1,1,2002
Super built-up  Area,18-Apr,"Bali Dist., New Taipei City",2 BHK,1152,1,1,1456
